Satimo 1 - SG24-ATL2989S     400-6000 Mhz,,,,,,,,,SG24-ATL2989S,400-10000 Mhz,,,SH600 Horn used to create a new passive calibration file: Measurement time about 2.5 hours.,,,,,,
Yearly Reference Dipole Measurements -  (Limits: +/- .5 dB of the Average of the previous 4 measurements),,,,,,,,,Satimo 1,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,, ,,,,,
,,,,,,,,,SD665,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1200,-0.53,-0.13,,,,,,,,
,,,,,,,,,1205,-0.55,-0.3,,,,,,,,
,,,,,,,,,1210,-0.47,-0.15,,,,,,,,
,,,,,,,,,1215,-0.49,-0.26,,,,,,,,
,,,,,,,,,1220,-0.47,-0.2,,,,,,,,
,,,,,,,,,1225,-0.49,-0.32,,,,,,,,
,,,,,,,,,1230,-0.48,-0.29,,,,,,,,
,,,,,,,,,1235,-0.43,-0.34,,,,,,,,
,,,,,,,,,1240,-0.39,-0.3,,,,,,,,
,,,,,,,,,1245,-0.33,-0.22,,,,,,,,
,,,,,,,,,1250,-0.31,-0.27,,,,,,,,
,,,,,,,,,1255,-0.29,-0.04,,,,,,,,
,,,,,,,,,1260,-0.31,-0.07,,,,,,,,
,,,,,,,,,1265,-0.33,0.1,,,,,,,,
,,,,,,,,,1270,-0.39,-0.02,,,,,,,,
,,,,,,,,,1275,-0.41,0.27,,,,,,,,
,,,,,,,,,1280,-0.49,0.07,,,,,,,,
,,,,,,,,,1285,-0.53,0.27,,,,,,,,
,,,,,,,,,1290,-0.58,-0.06,,,,,,,,
,,,,,,,,,1295,-0.6,0.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD1575,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1500,-0.59,-0.54,,,,,,,,
,,,,,,,,,1505,-0.47,-0.5,,,,,,,,
,,,,,,,,,1510,-0.5,-0.43,,,,,,,,
,,,,,,,,,1515,-0.48,-0.49,,,,,,,,
,,,,,,,,,1520,-0.4,-0.35,,,,,,,,
,,,,,,,,,1525,-0.29,-0.29,,,,,,,,
,,,,,,,,,1530,-0.28,-0.18,,,,,,,,
,,,,,,,,,1535,-0.29,-0.2,,,,,,,,
,,,,,,,,,1540,-0.16,-0.13,,,,,,,,
,,,,,,,,,1545,-0.25,-0.13,,,,,,,,
,,,,,,,,,1550,-0.13,-0.1,,,,,,,,
,,,,,,,,,1555,-0.16,-0.16,,,,,,,,
,,,,,,,,,1560,-0.14,-0.11,,,,,,,,
,,,,,,,,,1565,-0.22,-0.14,,,,,,,,
,,,,,,,,,1570,-0.13,-0.11,,,,,,,,
,,,,,,,,,1575,-0.17,-0.15,,,,,,,,
,,,,,,,,,1580,-0.17,-0.16,,,,,,,,
,,,,,,,,,1585,-0.03,-0.24,,,,,,,,
,,,,,,,,,1590,-0.14,-0.24,,,,,,,,
,,,,,,,,,1595,-0.13,-0.29,,,,,,,,
,,,,,,,,,1600,-0.25,-0.34,,,,,,,,
,,,,,,,,,1605,-0.36,-0.4,,,,,,,,
,,,,,,,,,1610,-0.39,-0.39,,,,,,,,
,,,,,,,,,1615,-0.33,-0.31,,,,,,,,
,,,,,,,,,1620,-0.38,-0.19,,,,,,,,
,,,,,,,,,1625,-0.47,-0.18,,,,,,,,
,,,,,,,,,1630,-0.41,-0.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD1730,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1640,-0.56,-0.08,,,,,,,,
,,,,,,,,,1645,-0.52,-0.07,,,,,,,,
,,,,,,,,,1650,-0.39,-0.05,,,,,,,,
,,,,,,,,,1655,-0.34,-0.12,,,,,,,,
,,,,,,,,,1660,-0.24,-0.22,,,,,,,,
,,,,,,,,,1665,-0.22,-0.28,,,,,,,,
,,,,,,,,,1670,-0.25,-0.33,,,,,,,,
,,,,,,,,,1675,-0.23,-0.36,,,,,,,,
,,,,,,,,,1680,-0.28,-0.37,,,,,,,,
,,,,,,,,,1685,-0.24,-0.29,,,,,,,,
,,,,,,,,,1690,-0.31,-0.17,,,,,,,,
,,,,,,,,,1695,-0.27,-0.07,,,,,,,,
,,,,,,,,,1700,-0.29,-0.03,,,,,,,,
,,,,,,,,,1705,-0.31,0.07,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD1800,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1710,-0.46,-0.03,,,,,,,,
,,,,,,,,,1715,-0.44,-0.08,,,,,,,,
,,,,,,,,,1720,-0.37,-0.02,,,,,,,,
,,,,,,,,,1725,-0.42,-0.07,,,,,,,,
,,,,,,,,,1730,-0.25,-0.12,,,,,,,,
,,,,,,,,,1735,-0.25,-0.2,,,,,,,,
,,,,,,,,,1740,-0.2,-0.26,,,,,,,,
,,,,,,,,,1745,-0.27,-0.27,,,,,,,,
,,,,,,,,,1750,-0.24,-0.28,,,,,,,,
,,,,,,,,,1755,-0.28,-0.33,,,,,,,,
,,,,,,,,,1760,-0.31,-0.22,,,,,,,,
,,,,,,,,,1765,-0.26,-0.15,,,,,,,,
,,,,,,,,,1770,-0.27,-0.14,,,,,,,,
,,,,,,,,,1775,-0.27,-0.13,,,,,,,,
,,,,,,,,,1780,-0.36,-0.08,,,,,,,,
,,,,,,,,,1785,-0.3,-0.11,,,,,,,,
,,,,,,,,,1790,-0.39,-0.1,,,,,,,,
,,,,,,,,,1795,-0.38,-0.09,,,,,,,,
,,,,,,,,,1800,-0.38,-0.08,,,,,,,,
,,,,,,,,,1805,-0.33,-0.06,,,,,,,,
,,,,,,,,,1810,-0.36,-0.07,,,,,,,,
,,,,,,,,,1815,-0.42,-0.02,,,,,,,,
,,,,,,,,,1820,-0.32,-0.04,,,,,,,,
,,,,,,,,,1825,-0.3,-0.05,,,,,,,,
,,,,,,,,,1830,-0.31,-0.03,,,,,,,,
,,,,,,,,,1835,-0.46,0.07,,,,,,,,
,,,,,,,,,1840,-0.46,-0.04,,,,,,,,
,,,,,,,,,1845,-0.57,-0.05,,,,,,,,
