Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD5650,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,5405,-0.48,-1.04,,,
,,,,,,,,,5410,-0.47,-1.01,,,
,,,,,,,,,5415,-0.52,-0.97,,,
,,,,,,,,,5420,-0.57,-0.85,,,
,,,,,,,,,5425,-0.56,-0.87,,,
,,,,,,,,,5430,-0.56,-0.75,,,
,,,,,,,,,5435,-0.56,-0.91,,,
,,,,,,,,,5440,-0.58,-0.72,,,
,,,,,,,,,5445,-0.59,-0.62,,,
,,,,,,,,,5450,-0.56,-0.5,,,
,,,,,,,,,5455,-0.55,-0.5,,,
,,,,,,,,,5460,-0.61,-0.48,,,
,,,,,,,,,5465,-0.55,-0.4,,,
,,,,,,,,,5470,-0.53,-0.33,,,
,,,,,,,,,5475,-0.48,-0.26,,,
,,,,,,,,,5480,-0.51,-0.26,,,
,,,,,,,,,5485,-0.56,-0.27,,,
,,,,,,,,,5490,-0.6,-0.33,,,
,,,,,,,,,5495,-0.57,-0.36,,,
,,,,,,,,,5500,-0.59,-0.33,,,
,,,,,,,,,5505,-0.64,-0.32,,,
,,,,,,,,,5510,-0.59,-0.38,,,
,,,,,,,,,5515,-0.57,-0.2,,,
,,,,,,,,,5520,-0.54,-0.45,,,
,,,,,,,,,5525,-0.51,-0.4,,,
,,,,,,,,,5530,-0.49,-0.37,,,
,,,,,,,,,5535,-0.45,-0.32,,,
,,,,,,,,,5540,-0.42,-0.32,,,
,,,,,,,,,5545,-0.44,-0.32,,,
,,,,,,,,,5550,-0.46,-0.36,,,
,,,,,,,,,5555,-0.46,-0.49,,,
,,,,,,,,,5560,-0.41,-0.36,,,
,,,,,,,,,5565,-0.42,-0.38,,,
,,,,,,,,,5570,-0.41,-0.4,,,
,,,,,,,,,5575,-0.43,-0.47,,,
,,,,,,,,,5580,-0.41,-0.49,,,
,,,,,,,,,5585,-0.37,-0.55,,,
,,,,,,,,,5590,-0.42,-0.57,,,
,,,,,,,,,5595,-0.51,-0.6,,,
,,,,,,,,,5600,-0.45,-0.64,,,
,,,,,,,,,5605,-0.47,-0.7,,,
,,,,,,,,,5610,-0.46,-0.69,,,
,,,,,,,,,5615,-0.46,-0.71,,,
,,,,,,,,,5620,-0.41,-0.69,,,
,,,,,,,,,5625,-0.38,-0.71,,,
,,,,,,,,,5630,-0.28,-0.65,,,
,,,,,,,,,5635,-0.32,-0.61,,,
,,,,,,,,,5640,-0.3,-0.7,,,
,,,,,,,,,5645,-0.29,-0.83,,,
,,,,,,,,,5650,-0.29,-0.7,,,
,,,,,,,,,5655,-0.3,-0.59,,,
,,,,,,,,,5660,-0.32,-0.62,,,
,,,,,,,,,5665,-0.4,-0.49,,,
,,,,,,,,,5670,-0.35,-0.64,,,
,,,,,,,,,5675,-0.39,-0.71,,,
,,,,,,,,,5680,-0.42,-0.57,,,
,,,,,,,,,5685,-0.48,-0.41,,,
,,,,,,,,,5690,-0.41,-0.54,,,
,,,,,,,,,5695,-0.46,-0.68,,,
,,,,,,,,,5700,-0.44,-0.53,,,
,,,,,,,,,5705,-0.47,-0.67,,,
,,,,,,,,,5710,-0.48,-0.49,,,
,,,,,,,,,5715,-0.42,-0.38,,,
,,,,,,,,,5720,-0.32,-0.48,,,
,,,,,,,,,5725,-0.35,-0.65,,,
,,,,,,,,,5730,-0.34,-0.53,,,
,,,,,,,,,5735,-0.33,-0.48,,,
,,,,,,,,,5740,-0.32,-0.55,,,
,,,,,,,,,5745,-0.33,-0.57,,,
,,,,,,,,,5750,-0.33,-0.54,,,
,,,,,,,,,5755,-0.41,-0.63,,,
,,,,,,,,,5760,-0.41,-0.63,,,
,,,,,,,,,5765,-0.45,-0.7,,,
,,,,,,,,,5770,-0.56,-0.6,,,
,,,,,,,,,5775,-0.43,-0.64,,,
,,,,,,,,,5780,-0.46,-0.54,,,
,,,,,,,,,5785,-0.46,-0.36,,,
,,,,,,,,,5790,-0.49,-0.53,,,
,,,,,,,,,5795,-0.47,-0.55,,,
,,,,,,,,,5800,-0.59,-0.47,,,
,,,,,,,,,5805,-0.49,-0.29,,,
,,,,,,,,,5810,-0.5,-0.46,,,
,,,,,,,,,5815,-0.46,-0.33,,,
,,,,,,,,,5820,-0.48,-0.54,,,
,,,,,,,,,5825,-0.44,-0.69,,,
,,,,,,,,,5830,-0.47,-0.58,,,
,,,,,,,,,5835,-0.46,-0.52,,,
,,,,,,,,,5840,-0.46,-0.59,,,
,,,,,,,,,5845,-0.47,-0.73,,,
,,,,,,,,,5850,-0.4,-0.64,,,
,,,,,,,,,5855,-0.44,-0.66,,,
,,,,,,,,,5860,-0.57,-0.54,,,
,,,,,,,,,5865,-0.55,-0.37,,,
,,,,,,,,,5870,-0.52,-0.47,,,
,,,,,,,,,5875,-0.54,-0.43,,,
,,,,,,,,,5880,-0.58,-0.44,,,
,,,,,,,,,5885,-0.51,-0.47,,,
,,,,,,,,,5890,-0.7,-0.41,,,
,,,,,,,,,5895,-0.68,-0.53,,,
,,,,,,,,,5900,-0.71,-0.47,,,
,,,,,,,,,,,,,, 
,,,,,,,,,WD6000,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,6000,-0.54,-0.06,,,
,,,,,,,,,6010,-0.56,-0.16,,,
,,,,,,,,,6020,-0.57,0.16,,,
,,,,,,,,,6030,-0.57,-0.1,,,
,,,,,,,,,6040,-0.58,0.16,,,
,,,,,,,,,6050,-0.59,0.13,,,
,,,,,,,,,6060,-0.6,-0.29,,,
,,,,,,,,,6070,-0.63,0.18,,,
,,,,,,,,,6080,-0.65,0.11,,,
,,,,,,,,,6090,-0.67,0.16,,,
,,,,,,,,,6100,-0.68,0.49,,,
,,,,,,,,,6110,-0.69,0.53,,,
,,,,,,,,,6120,-0.7,0.51,,,
,,,,,,,,,6130,-0.71,0.68,,,
,,,,,,,,,6140,-0.73,0.9,,,
,,,,,,,,,6150,-0.74,0.59,,,
,,,,,,,,,6160,-0.74,0.99,,,
,,,,,,,,,6170,-0.73,0.91,,,
,,,,,,,,,6180,-0.72,0.64,,,
,,,,,,,,,6190,-0.7,1.07,,,
,,,,,,,,,6200,-0.68,0.84,,,
,,,,,,,,,6210,-0.67,0.78,,,
,,,,,,,,,6220,-0.66,0.79,,,
,,,,,,,,,6230,-0.65,0.67,,,
,,,,,,,,,6240,-0.63,0.71,,,
,,,,,,,,,6250,-0.61,0.56,,,
,,,,,,,,,6260,-0.59,0.56,,,
,,,,,,,,,6270,-0.57,0.4,,,
,,,,,,,,,6280,-0.55,0.46,,,
,,,,,,,,,6290,-0.54,0.66,,,
,,,,,,,,,6300,-0.53,0.31,,,
,,,,,,,,,6310,-0.53,0.88,,,
,,,,,,,,,6320,-0.54,1.02,,,
,,,,,,,,,6330,-0.54,0.88,,,
,,,,,,,,,6340,-0.54,1.31,,,
,,,,,,,,,6350,-0.55,0.93,,,
,,,,,,,,,6360,-0.55,1.07,,,
,,,,,,,,,6370,-0.57,1.23,,,
,,,,,,,,,6380,-0.58,1.06,,,
,,,,,,,,,6390,-0.6,1.21,,,
,,,,,,,,,6400,-0.61,1.35,,,
,,,,,,,,,6410,-0.63,1.45,,,
,,,,,,,,,6420,-0.63,1.33,,,
,,,,,,,,,6430,-0.64,1.53,,,
,,,,,,,,,6440,-0.65,1.48,,,
,,,,,,,,,6450,-0.66,1.26,,,
,,,,,,,,,6460,-0.67,1.44,,,
,,,,,,,,,6470,-0.68,1.16,,,
,,,,,,,,,6480,-0.68,1.13,,,
,,,,,,,,,6490,-0.68,1.25,,,
,,,,,,,,,6500,-0.68,1,,,
,,,,,,,,,6510,-0.68,1.09,,,
,,,,,,,,,6520,-0.68,1.11,,,
,,,,,,,,,6530,-0.68,1.1,,,
,,,,,,,,,6540,-0.67,1.01,,,
,,,,,,,,,6550,-0.67,0.85,,,
,,,,,,,,,6560,-0.65,0.85,,,
,,,,,,,,,6570,-0.63,0.62,,,
,,,,,,,,,6580,-0.63,0.86,,,
,,,,,,,,,6590,-0.61,0.74,,,
,,,,,,,,,6600,-0.61,0.69,,,
,,,,,,,,,6610,-0.61,0.89,,,
,,,,,,,,,6620,-0.6,0.53,,,
,,,,,,,,,6630,-0.61,0.55,,,
,,,,,,,,,6640,-0.59,0.52,,,
,,,,,,,,,6650,-0.58,0.47,,,
,,,,,,,,,6660,-0.57,0.59,,,
,,,,,,,,,6670,-0.56,0.57,,,
,,,,,,,,,6680,-0.56,0.63,,,
,,,,,,,,,6690,-0.55,0.59,,,
,,,,,,,,,6700,-0.55,0.54,,,
,,,,,,,,,6710,-0.55,0.52,,,
,,,,,,,,,6720,-0.54,0.33,,,
,,,,,,,,,6730,-0.54,0.36,,,
,,,,,,,,,6740,-0.54,0.18,,,
,,,,,,,,,6750,-0.55,0.05,,,
,,,,,,,,,6760,-0.56,0.16,,,
,,,,,,,,,6770,-0.57,0.04,,,
,,,,,,,,,6780,-0.58,0.15,,,
,,,,,,,,,6790,-0.58,0.08,,,
,,,,,,,,,6800,-0.58,0.12,,,
,,,,,,,,,6810,-0.58,0.09,,,
,,,,,,,,,6820,-0.58,-0.02,,,
,,,,,,,,,6830,-0.59,-0.12,,,
,,,,,,,,,6840,-0.6,-0.2,,,
,,,,,,,,,6850,-0.61,-0.12,,,
,,,,,,,,,6860,-0.6,-0.14,,,
,,,,,,,,,6870,-0.59,0,,,
,,,,,,,,,6880,-0.58,0,,,
,,,,,,,,,6890,-0.57,-0.01,,,
,,,,,,,,,6900,-0.56,-0.1,,,
,,,,,,,,,6910,-0.54,-0.21,,,
,,,,,,,,,6920,-0.53,-0.3,,,
,,,,,,,,,6930,-0.52,-0.34,,,
,,,,,,,,,6940,-0.5,-0.43,,,
,,,,,,,,,6950,-0.48,-0.54,,,
,,,,,,,,,6960,-0.46,-0.55,,,
,,,,,,,,,6970,-0.46,-0.48,,,
,,,,,,,,,6980,-0.45,-0.4,,,
,,,,,,,,,6990,-0.46,-0.52,,,
,,,,,,,,,7000,-0.48,-0.57,,,
,,,,,,,,,7010,-0.49,-0.63,,,
,,,,,,,,,7020,-0.51,-0.69,,,
,,,,,,,,,7030,-0.51,-0.67,,,
,,,,,,,,,7040,-0.53,-0.58,,,
,,,,,,,,,7050,-0.53,-0.59,,,
,,,,,,,,,7060,-0.54,-0.43,,,
,,,,,,,,,7070,-0.55,-0.34,,,
,,,,,,,,,7080,-0.55,-0.43,,,
,,,,,,,,,7090,-0.56,-0.29,,,
,,,,,,,,,7100,-0.56,-0.38,,,
,,,,,,,,,7110,-0.55,-0.29,,,
,,,,,,,,,7120,-0.54,-0.2,,,
,,,,,,,,,7130,-0.52,-0.21,,,
,,,,,,,,,7140,-0.5,-0.11,,,
,,,,,,,,,7150,-0.48,-0.17,,,
,,,,,,,,,7160,-0.46,-0.13,,,
,,,,,,,,,7170,-0.44,-0.3,,,
,,,,,,,,,7180,-0.42,-0.35,,,
,,,,,,,,,7190,-0.41,-0.31,,,
,,,,,,,,,7200,-0.39,-0.43,,,
,,,,,,,,,7210,-0.39,-0.31,,,
,,,,,,,,,7220,-0.39,-0.39,,,
,,,,,,,,,7230,-0.39,-0.56,,,
,,,,,,,,,7240,-0.39,-0.44,,,
,,,,,,,,,7250,-0.4,-0.44,,,
,,,,,,,,,7260,-0.41,-0.5,,,
,,,,,,,,,7270,-0.42,-0.68,,,
,,,,,,,,,7280,-0.43,-0.89,,,
,,,,,,,,,7290,-0.45,-0.93,,,
,,,,,,,,,7300,-0.46,-0.86,,,
,,,,,,,,,7310,-0.47,-0.47,,,
,,,,,,,,,7320,-0.48,-0.66,,,
,,,,,,,,,7330,-0.48,-0.4,,,
,,,,,,,,,7340,-0.49,-0.53,,,
,,,,,,,,,7350,-0.49,-0.85,,,
,,,,,,,,,7360,-0.49,-0.6,,,
,,,,,,,,,7370,-0.49,-0.95,,,
,,,,,,,,,7380,-0.49,-0.74,,,
,,,,,,,,,7390,-0.48,-0.64,,,
,,,,,,,,,7400,-0.47,-0.68,,,
,,,,,,,,,7410,-0.46,-0.48,,,
,,,,,,,,,7420,-0.44,-0.48,,,
,,,,,,,,,7430,-0.43,-0.41,,,
,,,,,,,,,7440,-0.41,-0.45,,,
,,,,,,,,,7450,-0.4,-0.51,,,
,,,,,,,,,7460,-0.39,-0.54,,,
,,,,,,,,,7470,-0.38,-0.88,,,
,,,,,,,,,7480,-0.38,-0.73,,,
,,,,,,,,,7490,-0.37,-0.85,,,
,,,,,,,,,7500,-0.37,-0.92,,,
,,,,,,,,,7510,-0.37,-0.61,,,
,,,,,,,,,7520,-0.36,-0.75,,,
,,,,,,,,,7530,-0.36,-0.51,,,
,,,,,,,,,7540,-0.36,-0.68,,,
,,,,,,,,,7550,-0.35,-0.94,,,
,,,,,,,,,7560,-0.36,-1.09,,,
,,,,,,,,,7570,-0.35,-1.16,,,
,,,,,,,,,7580,-0.36,-0.98,,,
,,,,,,,,,7590,-0.37,-1.14,,,
,,,,,,,,,7600,-0.38,-0.88,,,
,,,,,,,,,7610,-0.39,-0.93,,,
,,,,,,,,,7620,-0.4,-0.99,,,
,,,,,,,,,7630,-0.42,-0.73,,,
,,,,,,,,,7640,-0.43,-0.99,,,
,,,,,,,,,7650,-0.45,-0.94,,,
,,,,,,,,,7660,-0.45,-1.03,,,
,,,,,,,,,7670,-0.46,-1.36,,,
,,,,,,,,,7680,-0.46,-1.03,,,
,,,,,,,,,7690,-0.46,-1.13,,,
,,,,,,,,,7700,-0.46,-1.09,,,
,,,,,,,,,7710,-0.46,-0.97,,,
,,,,,,,,,7720,-0.45,-1.22,,,
,,,,,,,,,7730,-0.44,-1.22,,,
,,,,,,,,,7740,-0.42,-1.56,,,
,,,,,,,,,7750,-0.41,-1.45,,,
,,,,,,,,,7760,-0.4,-1.7,,,
,,,,,,,,,7770,-0.38,-1.9,,,
,,,,,,,,,7780,-0.37,-1.84,,,
,,,,,,,,,7790,-0.36,-2.1,,,
,,,,,,,,,7800,-0.36,-1.84,,,
,,,,,,,,,7810,-0.35,-1.93,,,
,,,,,,,,,7820,-0.35,-1.95,,,
,,,,,,,,,7830,-0.35,-2.03,,,
,,,,,,,,,7840,-0.34,-2.17,,,
,,,,,,,,,7850,-0.34,-2.09,,,
,,,,,,,,,7860,-0.35,-2.23,,,
,,,,,,,,,7870,-0.35,-2.3,,,
,,,,,,,,,7880,-0.34,-2.39,,,
,,,,,,,,,7890,-0.33,-2.36,,,
,,,,,,,,,7900,-0.32,-1.96,,,
,,,,,,,,,7910,-0.29,-1.93,,,
,,,,,,,,,7920,-0.28,-1.86,,,
,,,,,,,,,7930,-0.26,-1.85,,,
,,,,,,,,,7940,-0.25,-2.26,,,
,,,,,,,,,7950,-0.25,-2.05,,,
,,,,,,,,,7960,-0.24,-2.22,,,
,,,,,,,,,7970,-0.25,-2.19,,,
,,,,,,,,,7980,-0.26,-2.19,,,
,,,,,,,,,7990,-0.27,-2.45,,,
,,,,,,,,,8000,-0.29,-2.35,,,
