Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,1520,-0.4,-0.7,,,
,,,,,,,,,1525,-0.29,-0.55,,,
,,,,,,,,,1530,-0.28,-0.46,,,
,,,,,,,,,1535,-0.29,-0.6,,,
,,,,,,,,,1540,-0.16,-0.43,,,
,,,,,,,,,1545,-0.25,-0.32,,,
,,,,,,,,,1550,-0.13,-0.33,,,
,,,,,,,,,1555,-0.16,-0.61,,,
,,,,,,,,,1560,-0.14,-0.36,,,
,,,,,,,,,1565,-0.22,-0.53,,,
,,,,,,,,,1570,-0.13,-0.4,,,
,,,,,,,,,1575,-0.17,-0.33,,,
,,,,,,,,,1580,-0.17,-0.43,,,
,,,,,,,,,1585,-0.03,-0.51,,,
,,,,,,,,,1590,-0.14,-0.36,,,
,,,,,,,,,1595,-0.13,-0.25,,,
,,,,,,,,,1600,-0.25,-0.27,,,
,,,,,,,,,1605,-0.36,-0.23,,,
,,,,,,,,,1610,-0.39,-0.23,,,
,,,,,,,,,1615,-0.33,-0.22,,,
,,,,,,,,,1620,-0.38,-0.28,,,
,,,,,,,,,1625,-0.47,-0.39,,,
,,,,,,,,,1630,-0.41,-0.38,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD1730,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,1640,-0.56,-0.59,,,
,,,,,,,,,1645,-0.52,-0.37,,,
,,,,,,,,,1650,-0.39,-0.6,,,
,,,,,,,,,1655,-0.34,-0.6,,,
,,,,,,,,,1660,-0.24,-0.51,,,
,,,,,,,,,1665,-0.22,-0.29,,,
,,,,,,,,,1670,-0.25,-0.41,,,
,,,,,,,,,1675,-0.23,-0.44,,,
,,,,,,,,,1680,-0.28,-0.29,,,
,,,,,,,,,1685,-0.24,-0.35,,,
,,,,,,,,,1690,-0.31,-0.26,,,
,,,,,,,,,1695,-0.27,-0.29,,,
,,,,,,,,,1700,-0.29,-0.3,,,
,,,,,,,,,1705,-0.31,-0.55,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD1800,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,1710,-0.46,-0.63,,,
,,,,,,,,,1715,-0.44,-0.66,,,
,,,,,,,,,1720,-0.37,-0.62,,,
,,,,,,,,,1725,-0.42,-0.59,,,
,,,,,,,,,1730,-0.25,-0.54,,,
,,,,,,,,,1735,-0.25,-0.43,,,
,,,,,,,,,1740,-0.2,-0.47,,,
,,,,,,,,,1745,-0.27,-0.47,,,
,,,,,,,,,1750,-0.24,-0.44,,,
,,,,,,,,,1755,-0.28,-0.42,,,
,,,,,,,,,1760,-0.31,-0.4,,,
,,,,,,,,,1765,-0.26,-0.45,,,
,,,,,,,,,1770,-0.27,-0.44,,,
,,,,,,,,,1775,-0.27,-0.41,,,
,,,,,,,,,1780,-0.36,-0.38,,,
,,,,,,,,,1785,-0.3,-0.13,,,
,,,,,,,,,1790,-0.39,-0.39,,,
,,,,,,,,,1795,-0.38,-0.2,,,
,,,,,,,,,1800,-0.38,-0.35,,,
,,,,,,,,,1805,-0.33,-0.3,,,
,,,,,,,,,1810,-0.36,-0.36,,,
,,,,,,,,,1815,-0.42,-0.29,,,
,,,,,,,,,1820,-0.32,-0.4,,,
,,,,,,,,,1825,-0.3,-0.5,,,
,,,,,,,,,1830,-0.31,-0.4,,,
,,,,,,,,,1835,-0.46,-0.51,,,
,,,,,,,,,1840,-0.46,-0.51,,,
,,,,,,,,,1845,-0.57,-0.33,,,
,,,,,,,,,1850,-0.65,-0.39,,,
,,,,,,,,,1855,-0.7,-0.58,,,
,,,,,,,,,1860,-0.79,-0.48,,,
,,,,,,,,,1865,-0.87,-0.42,,,
,,,,,,,,,1870,-0.95,-0.39,,,
,,,,,,,,,1875,-0.89,-0.49,,,
,,,,,,,,,1880,-0.92,-0.42,,,
,,,,,,,,,1885,-0.9,-0.54,,,
,,,,,,,,,1890,-0.91,-0.49,,,
,,,,,,,,,1895,-0.93,-0.47,,,
,,,,,,,,,1900,-0.96,-0.49,,,
,,,,,,,,,1905,-0.98,-0.62,,,
,,,,,,,,,1910,-0.76,-0.57,,,
,,,,,,,,,1915,-0.68,-0.33,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD1900,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,1920,-0.55,-0.29,,,
,,,,,,,,,1925,-0.58,-0.21,,,
,,,,,,,,,1930,-0.58,-0.28,,,
,,,,,,,,,1935,-0.72,-0.06,,,
,,,,,,,,,1940,-0.74,-0.25,,,
,,,,,,,,,1945,-0.65,-0.16,,,
,,,,,,,,,1950,-0.72,-0.31,,,
,,,,,,,,,1955,-0.71,-0.28,,,
,,,,,,,,,1960,-0.69,-0.33,,,
,,,,,,,,,1965,-0.68,-0.31,,,
,,,,,,,,,1970,-0.66,-0.37,,,
,,,,,,,,,1975,-0.55,-0.61,,,
,,,,,,,,,1980,-0.56,-0.37,,,
,,,,,,,,,1985,-0.53,-0.28,,,
,,,,,,,,,1990,-0.47,-0.4,,,
,,,,,,,,,1995,-0.55,-0.52,,,
,,,,,,,,,2000,-0.4,-0.42,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD2140,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,2005,-0.55,-0.74,,,
,,,,,,,,,2010,-0.4,-0.61,,,
,,,,,,,,,2015,-0.39,-0.57,,,
,,,,,,,,,2020,-0.32,-0.57,,,
,,,,,,,,,2025,-0.4,-0.86,,,
,,,,,,,,,2030,-0.44,-0.62,,,
,,,,,,,,,2035,-0.43,-0.59,,,
,,,,,,,,,2040,-0.45,-0.49,,,
,,,,,,,,,2045,-0.4,-0.46,,,
,,,,,,,,,2050,-0.43,-0.43,,,
,,,,,,,,,2055,-0.42,-0.31,,,
,,,,,,,,,2060,-0.48,-0.41,,,
,,,,,,,,,2065,-0.46,-0.33,,,
,,,,,,,,,2070,-0.41,-0.35,,,
,,,,,,,,,2075,-0.31,-0.4,,,
,,,,,,,,,2080,-0.24,-0.51,,,
,,,,,,,,,2085,-0.3,-0.39,,,
,,,,,,,,,2090,-0.29,-0.46,,,
,,,,,,,,,2095,-0.37,-0.67,,,
,,,,,,,,,2100,-0.33,-0.44,,,
,,,,,,,,,2105,-0.29,-0.33,,,
,,,,,,,,,2110,-0.21,-0.37,,,
,,,,,,,,,2115,-0.22,-0.38,,,
,,,,,,,,,2120,-0.17,-0.35,,,
,,,,,,,,,2125,-0.16,-0.44,,,
,,,,,,,,,2130,-0.11,-0.25,,,
,,,,,,,,,2135,-0.1,-0.21,,,
,,,,,,,,,2140,-0.12,-0.36,,,
,,,,,,,,,2145,-0.14,-0.46,,,
